t,AAPL
2021-07-29,145.64
2021-07-30,145.86
2021-08-02,145.52
2021-08-03,147.36
2021-08-04,146.95
2021-08-05,147.06
2021-08-06,146.14
2021-08-09,146.09
2021-08-10,145.6
2021-08-11,145.86
2021-08-12,148.89
2021-08-13,149.1
2021-08-16,151.12
2021-08-17,150.19
2021-08-18,146.36
2021-08-19,146.7
2021-08-20,148.19
2021-08-23,149.71
2021-08-24,149.62
2021-08-25,148.36
2021-08-26,147.54
2021-08-27,148.6
2021-08-30,153.12
2021-08-31,151.83
2021-09-01,152.51
2021-09-02,153.65
2021-09-03,154.3
2021-09-07,156.69
2021-09-08,155.11
2021-09-09,154.07
2021-09-10,148.97
2021-09-13,149.55
2021-09-14,148.12
2021-09-15,149.03
2021-09-16,148.79
2021-09-17,146.06
2021-09-20,142.94
2021-09-21,143.43
2021-09-22,145.85
2021-09-23,146.83
2021-09-24,146.92
2021-09-27,145.37
2021-09-28,141.91
2021-09-29,142.83
2021-09-30,141.5
2021-10-01,142.65
2021-10-04,139.14
2021-10-05,141.11
2021-10-06,142.0
2021-10-07,143.29
2021-10-08,142.9
2021-10-11,142.81
2021-10-12,141.51
2021-10-13,140.91
2021-10-14,143.76
2021-10-15,144.84
2021-10-18,146.55
2021-10-19,148.76
2021-10-20,149.26
2021-10-21,149.48
2021-10-22,148.69
2021-10-25,148.64
2021-10-26,149.32
2021-10-27,148.85
2021-10-28,152.57
2021-10-29,149.8
2021-11-01,148.96
2021-11-02,150.02
2021-11-03,151.49
2021-11-04,150.96
2021-11-05,151.28
2021-11-08,150.44
2021-11-09,150.81
2021-11-10,147.92
2021-11-11,147.87
2021-11-12,149.99
2021-11-15,150.0
2021-11-16,151.0
2021-11-17,153.49
2021-11-18,157.87
2021-11-19,160.55
2021-11-22,161.02
2021-11-23,161.41
2021-11-24,161.94
2021-11-26,156.81
2021-11-29,160.24
2021-11-30,165.3
2021-12-01,164.77
2021-12-02,163.76
2021-12-03,161.84
2021-12-06,165.32
2021-12-07,171.18
2021-12-08,175.08
2021-12-09,174.56
2021-12-10,179.45
2021-12-13,175.74
2021-12-14,174.33
2021-12-15,179.3
2021-12-16,172.26
2021-12-17,171.14
2021-12-20,169.75
2021-12-21,172.99
2021-12-22,175.64
2021-12-23,176.28
2021-12-27,180.33
2021-12-28,179.29
2021-12-29,179.38
2021-12-30,178.2
2021-12-31,177.57
2022-01-03,182.01
2022-01-04,179.7
2022-01-05,174.92
2022-01-06,172.0
2022-01-07,172.17
2022-01-10,172.19
2022-01-11,175.08
2022-01-12,175.53
2022-01-13,172.19
2022-01-14,173.07
2022-01-18,169.8
2022-01-19,166.23
2022-01-20,164.51
2022-01-21,162.41
2022-01-24,161.62
2022-01-25,159.78
2022-01-26,159.69
2022-01-27,159.22
2022-01-28,170.33
2022-01-31,174.78
2022-02-01,174.61
2022-02-02,175.84
2022-02-03,172.9
2022-02-04,172.39
2022-02-07,171.66
2022-02-08,174.83
2022-02-09,176.28
2022-02-10,172.12
2022-02-11,168.64
2022-02-14,168.88
2022-02-15,172.79
2022-02-16,172.55
2022-02-17,168.88
2022-02-18,167.3
2022-02-22,164.32
2022-02-23,160.07
2022-02-24,162.74
2022-02-25,164.85
2022-02-28,165.12
2022-03-01,163.2
2022-03-02,166.56
2022-03-03,166.23
2022-03-04,163.17
2022-03-07,159.3
2022-03-08,157.44
2022-03-09,162.95
2022-03-10,158.52
2022-03-11,154.73
2022-03-14,150.62
2022-03-15,155.09
2022-03-16,159.59
2022-03-17,160.62
2022-03-18,163.98
2022-03-21,165.38
2022-03-22,168.82
2022-03-23,170.21
2022-03-24,174.07
2022-03-25,174.72
2022-03-28,175.6
2022-03-29,178.96
2022-03-30,177.77
2022-03-31,174.61
2022-04-01,174.31
2022-04-04,178.44
2022-04-05,175.06
2022-04-06,171.83
2022-04-07,172.14
2022-04-08,170.09
2022-04-11,165.75
2022-04-12,167.66
2022-04-13,170.4
2022-04-14,165.29
2022-04-18,165.07
2022-04-19,167.4
2022-04-20,167.23
2022-04-21,166.42
2022-04-22,161.79
2022-04-25,162.88
2022-04-26,156.8
2022-04-27,156.57
2022-04-28,163.64
2022-04-29,157.65
2022-05-02,157.96
2022-05-03,159.48
2022-05-04,166.02
2022-05-05,156.77
2022-05-06,157.28
2022-05-09,152.06
2022-05-10,154.51
2022-05-11,146.5
2022-05-12,142.56
2022-05-13,147.11
2022-05-16,145.54
2022-05-17,149.24
2022-05-18,140.82
2022-05-19,137.35
2022-05-20,137.59
2022-05-23,143.11
2022-05-24,140.36
2022-05-25,140.52
2022-05-26,143.78
2022-05-27,149.64
2022-05-31,148.84
2022-06-01,148.71
2022-06-02,151.21
2022-06-03,145.38
2022-06-06,146.14
2022-06-07,148.71
2022-06-08,147.96
2022-06-09,142.64
2022-06-10,137.13
2022-06-13,131.88
2022-06-14,132.76
2022-06-15,135.43
2022-06-16,130.06
2022-06-17,131.56
2022-06-21,135.87
2022-06-22,135.35
2022-06-23,138.27
2022-06-24,141.66
2022-06-27,141.66
2022-06-28,137.44
2022-06-29,139.23
2022-06-30,136.72
2022-07-01,138.93
2022-07-05,141.56
2022-07-06,142.92
2022-07-07,146.35
2022-07-08,147.04
2022-07-11,144.87
2022-07-12,145.86
